"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Mar 31 08:50:48 WIB 2023","Fri Mar 31 08:50:48 WIB 2023","1","","form page: test chai form","","","","And I select jenis_pengujian <jenisPengujian> and kartu_uji 0",""
"passed","Fri Mar 31 08:46:53 WIB 2023","Fri Mar 31 08:46:54 WIB 2023","364","","form page: test chai form","","","","When I enter no_uji AJ 011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"skipped","Fri Mar 31 19:22:55 WIB 2023","Fri Mar 31 19:22:55 WIB 2023","1","","form page: test chai form","","","","And I select jenis_pengujian 1 and kartu_uji 0",""
"passed","Sun Apr 02 06:20:21 WIB 2023","Sun Apr 02 06:20:26 WIB 2023","5053","","form page: test chai form","","","","Then I click submit button",""
"passed","Mon Apr 03 05:34:02 WIB 2023","Mon Apr 03 05:34:04 WIB 2023","1240","","Test End to End User from resttest: Validate End to End Get Single User","","","","Given I am on page  http://resttesttest.com/",""
"broken","Wed Mar 29 16:45:30 WIB 2023","Wed Mar 29 16:45:30 WIB 2023","1","","login page: input username password","","","","Given I am on the login page https://the-internet.herokuapp.com/",""
"passed","Sun Apr 02 08:28:39 WIB 2023","Sun Apr 02 08:28:39 WIB 2023","0","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 08:38:40 WIB 2023","Sun Apr 02 08:38:45 WIB 2023","5045","","form page: test chai form","","","","Then I click submit button",""
"skipped","Sun Apr 02 08:20:06 WIB 2023","Sun Apr 02 08:20:06 WIB 2023","1","","form page: test chai form","","","","Then I click submit button",""
"passed","Sun Apr 02 17:54:43 WIB 2023","Sun Apr 02 17:54:43 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Mon Apr 03 05:37:30 WIB 2023","Mon Apr 03 05:37:30 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Wed Mar 29 11:39:49 WIB 2023","Wed Mar 29 11:39:49 WIB 2023","32","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","Then I should see a flash message saying Your username is invalid!",""
"passed","Sun Apr 02 08:40:08 WIB 2023","Sun Apr 02 08:40:13 WIB 2023","5058","","form page: test chai form","","","","Then I click submit button",""
"skipped","Sun Apr 02 17:16:37 WIB 2023","Sun Apr 02 17:16:37 WIB 2023","1","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Wed Mar 29 11:44:10 WIB 2023","Wed Mar 29 11:44:11 WIB 2023","713","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with foobar and barfoo",""
"passed","Sun Apr 02 06:14:07 WIB 2023","Sun Apr 02 06:14:07 WIB 2023","29","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"skipped","Sun Apr 02 06:55:02 WIB 2023","Sun Apr 02 06:55:02 WIB 2023","1","","form page: test chai form","","","","And I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Wed Mar 29 16:18:38 WIB 2023","Wed Mar 29 16:18:38 WIB 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Fri Mar 31 08:51:20 WIB 2023","Fri Mar 31 08:51:20 WIB 2023","150","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Fri Mar 31 20:19:30 WIB 2023","Fri Mar 31 20:19:40 WIB 2023","10045","","form page: test chai form","","","","And I select jenis_pengujian 5 and kartu_uji 2",""
"skipped","Fri Mar 31 19:31:54 WIB 2023","Fri Mar 31 19:31:54 WIB 2023","1","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 06:48:10 WIB 2023","Sun Apr 02 06:48:13 WIB 2023","3124","","form page: test chai form","","","","And I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Sun Apr 02 08:38:37 WIB 2023","Sun Apr 02 08:38:37 WIB 2023","30","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"passed","Mon Apr 03 06:12:49 WIB 2023","Mon Apr 03 06:12:49 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Sun Apr 02 17:19:17 WIB 2023","Sun Apr 02 17:19:17 WIB 2023","1","","Test End to End User from resttest: Validate End to End Get Single User","","","","And I make GET /api/users/2 API call",""
"passed","Fri Mar 31 22:40:45 WIB 2023","Fri Mar 31 22:40:45 WIB 2023","1","","form page: test chai form","","","","",""
"passed","Wed Mar 29 16:52:30 WIB 2023","Wed Mar 29 16:52:30 WIB 2023","0","","login page: home page","","","","",""
"passed","Fri Mar 31 22:39:42 WIB 2023","Fri Mar 31 22:39:44 WIB 2023","2170","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Sun Apr 02 17:54:43 WIB 2023","Sun Apr 02 17:54:43 WIB 2023","142","","Test End to End User from resttest: Validate End to End Get Single User","","","","And I make GET /api/users/2 API call",""
"passed","Fri Mar 31 20:54:31 WIB 2023","Fri Mar 31 20:54:41 WIB 2023","10046","","form page: test chai form","","","","And I select jenis_pengujian 5 and kartu_uji 2",""
"passed","Fri Mar 31 20:10:44 WIB 2023","Fri Mar 31 20:10:46 WIB 2023","2167","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Fri Mar 31 08:58:11 WIB 2023","Fri Mar 31 08:58:11 WIB 2023","144","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 17:54:17 WIB 2023","Sun Apr 02 17:54:17 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","",""
"passed","Mon Apr 03 05:16:27 WIB 2023","Mon Apr 03 05:16:32 WIB 2023","5180","","Test End to End User from resttest: Validate End to End Get Single User","","","","When I perform /api/users/2 user search",""
"skipped","Fri Mar 31 19:58:37 WIB 2023","Fri Mar 31 19:58:37 WIB 2023","0","","form page: test chai form","","","","And I click submit button",""
"passed","Fri Mar 31 20:09:45 WIB 2023","Fri Mar 31 20:09:45 WIB 2023","117","","form page: test chai form","","","","When I enter no_uji AJ 011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"passed","Sun Apr 02 08:38:35 WIB 2023","Sun Apr 02 08:38:37 WIB 2023","2384","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Wed Mar 29 15:49:28 WIB 2023","Wed Mar 29 15:49:28 WIB 2023","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Wed Mar 29 15:54:09 WIB 2023","Wed Mar 29 15:54:09 WIB 2023","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Sun Apr 02 06:40:25 WIB 2023","Sun Apr 02 06:40:28 WIB 2023","3104","","form page: test chai form","","","","And I select search_category no_uji_kend and enter search no_uji AJ011001123 and press enter",""
"passed","Mon Apr 03 07:56:38 WIB 2023","Mon Apr 03 07:56:40 WIB 2023","1828","","Test End to End User from resttest: Validate End to End Get Single User","","","","Given I am on page  http://resttesttest.com/",""
"passed","Fri Mar 31 08:34:47 WIB 2023","Fri Mar 31 08:34:47 WIB 2023","1","","Halaman Pendaftaran Retribusi Kendaraan: As a user, I can log into the secure area","","","","",""
"passed","Sun Apr 02 06:38:56 WIB 2023","Sun Apr 02 06:38:58 WIB 2023","2326","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"skipped","Wed Mar 29 15:47:33 WIB 2023","Wed Mar 29 15:47:33 WIB 2023","0","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","When I login with admin and 67b70299781c57297aad37539c02d5c7!",""
"passed","Fri Mar 31 19:41:17 WIB 2023","Fri Mar 31 19:41:17 WIB 2023","0","","form page: test chai form","","","","",""
"passed","Sun Apr 02 08:40:05 WIB 2023","Sun Apr 02 08:40:05 WIB 2023","1","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 08:41:31 WIB 2023","Sun Apr 02 08:41:31 WIB 2023","2","","form page: test chai form","","","","",""
"passed","Sun Apr 02 06:06:00 WIB 2023","Sun Apr 02 06:06:00 WIB 2023","30","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"passed","Sun Apr 02 05:57:41 WIB 2023","Sun Apr 02 05:57:41 WIB 2023","35","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"passed","Sun Apr 02 06:05:30 WIB 2023","Sun Apr 02 06:05:30 WIB 2023","0","","form page: test chai form","","","","",""
"passed","Sun Apr 02 17:29:45 WIB 2023","Sun Apr 02 17:29:47 WIB 2023","2118","","Test End to End User from resttest: Validate End to End Get Single User","","","","Given I am on page  http://resttesttest.com/",""
"skipped","Fri Mar 31 19:08:07 WIB 2023","Fri Mar 31 19:08:07 WIB 2023","0","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 08:40:54 WIB 2023","Sun Apr 02 08:40:54 WIB 2023","167","","form page: test chai form","","","","When I enter no_uji AJ011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"passed","Fri Mar 31 22:38:46 WIB 2023","Fri Mar 31 22:38:46 WIB 2023","0","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Fri Mar 31 08:52:56 WIB 2023","Fri Mar 31 08:52:58 WIB 2023","2174","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Fri Mar 31 19:52:44 WIB 2023","Fri Mar 31 19:52:46 WIB 2023","2166","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Sun Apr 02 06:47:59 WIB 2023","Sun Apr 02 06:47:59 WIB 2023","3","","form page: test chai form","","","","",""
"passed","Mon Apr 03 06:11:22 WIB 2023","Mon Apr 03 06:11:22 WIB 2023","30","","Test End to End User from resttest: Validate End to End Get Single User","","","","Given I am on page  http://resttesttest.com/",""
"skipped","Sun Apr 02 08:44:41 WIB 2023","Sun Apr 02 08:44:41 WIB 2023","0","","form page: test chai form","","","","And I enter nama_pemilik SAMSUL HUDA and alamat SEGODOREJO  RT 02/02 and no_telp -",""
"passed","Sun Apr 02 06:05:12 WIB 2023","Sun Apr 02 06:05:15 WIB 2023","2414","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"skipped","Fri Mar 31 19:33:25 WIB 2023","Fri Mar 31 19:33:25 WIB 2023","0","","form page: test chai form","","","","And I select jenis_pengujian 1 and kartu_uji 0",""
"passed","Fri Mar 31 20:10:46 WIB 2023","Fri Mar 31 20:10:46 WIB 2023","1","","form page: test chai form","","","","And I select jenis_kendaraan 5",""
"skipped","Mon Apr 03 06:08:56 WIB 2023","Mon Apr 03 06:08:56 WIB 2023","0","","Test End to End User from resttest: Validate End to End Get Single User","","","","Then I validate the search result",""
"passed","Wed Mar 29 15:50:52 WIB 2023","Wed Mar 29 15:50:52 WIB 2023","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","","","",""
"passed","Mon Apr 03 06:12:51 WIB 2023","Mon Apr 03 06:12:51 WIB 2023","21","","Test End to End User from resttest: Validate End to End Get Single User","","","","Given I am on page  http://resttesttest.com/",""
"passed","Fri Mar 31 20:26:13 WIB 2023","Fri Mar 31 20:26:23 WIB 2023","10280","","form page: test chai form","","","","When I enter no_uji AJ011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"failed","Sun Apr 02 17:54:17 WIB 2023","Sun Apr 02 17:54:17 WIB 2023","51","","Test End to End User from resttest: Validate End to End Get Single User","","","","Then I validate the search result",""
"passed","Sun Apr 02 06:32:16 WIB 2023","Sun Apr 02 06:32:20 WIB 2023","3455","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"passed","Sun Apr 02 06:08:28 WIB 2023","Sun Apr 02 06:08:28 WIB 2023","172","","form page: test chai form","","","","When I enter no_uji AJ011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
"passed","Sun Apr 02 05:57:41 WIB 2023","Sun Apr 02 05:57:42 WIB 2023","1028","","form page: test chai form","","","","And I select jenis_pengujian 1 and kartu_uji 2",""
"passed","Sun Apr 02 05:56:01 WIB 2023","Sun Apr 02 05:56:05 WIB 2023","4052","","form page: test chai form","","","","Given I am on the retribusi page ""http://103.184.181.9/retribusi""",""
"broken","Fri Mar 31 19:27:35 WIB 2023","Fri Mar 31 19:27:36 WIB 2023","104","","form page: test chai form","","","","When I enter no_uji AJ 011001123 and no_kendaraan S 8001 UW and no_mesin 14B1743536 and no_chasis BU4340006934 and jbb 7500",""
